campaign_key,campaign_name,objective
1,Operation Rentree 2023,Rentree Litteraire
2,Lancement Automne 2024,Fidelisation
3,Operation Festival BD 2025,Notoriete
4,Action Rentree 2022,Lancement Livre
5,Operation Automne 2023,Salon
6,Campagne Festival BD 2024,Salon
7,Action Automne 2025,Promotion
8,Promotion Rentree 2022,Fidelisation
9,Action Noel 2023,Rentree Litteraire
10,Evenement Automne 2024,Prix Litteraire
11,Operation Printemps 2025,Noel
12,Operation Noel 2022,Prix Litteraire
13,Promotion Rentree 2023,Promotion
14,Operation Salon Paris 2024,Notoriete
15,Promotion Semaine Lecture 2025,Prix Litteraire
16,Lancement Printemps 2022,Lancement Livre
17,Lancement Hiver 2023,Notoriete
18,Lancement Printemps 2024,Noel
19,Promotion Salon Lyon 2025,Prix Litteraire
20,Evenement Noel 2022,Prix Litteraire
21,Lancement Hiver 2023,Notoriete
22,Evenement Festival BD 2024,Salon
23,Evenement Salon Lyon 2025,Noel
24,Promotion Festival BD 2022,Salon
25,Initiative Rentree 2023,Salon
26,Campagne Noel 2024,Noel
27,Promotion Printemps 2025,Salon
28,Initiative Automne 2022,Promotion
29,Action Salon Lyon 2023,Fidelisation
30,Promotion Ete 2024,Salon
31,Promotion Semaine Lecture 2025,Noel
32,Action Noel 2022,Salon
33,Evenement Festival BD 2023,Promotion
34,Operation Rentree 2024,Notoriete
35,Evenement Ete 2025,Noel
36,Operation Salon Paris 2022,Noel
37,Offensive Festival BD 2023,Rentree Litteraire
38,Campagne Printemps 2024,Rentree Litteraire
39,Initiative Printemps 2025,Rentree Litteraire
40,Action Ete 2022,Promotion
41,Campagne Hiver 2023,Fidelisation
42,Operation Hiver 2024,Salon
43,Evenement Noel 2025,Fidelisation
44,Campagne Semaine Lecture 2022,Prix Litteraire
45,Offensive Rentree 2023,Notoriete
46,Initiative Hiver 2024,Salon
47,Campagne Automne 2025,Notoriete
48,Operation Salon Lyon 2022,Notoriete
49,Evenement Ete 2023,Promotion
50,Evenement Hiver 2024,Noel
51,Lancement Festival BD 2025,Salon
52,Promotion Salon Paris 2022,Prix Litteraire
53,Offensive Festival BD 2023,Promotion
54,Operation Automne 2024,Salon
55,Operation Noel 2025,Lancement Livre
56,Lancement Semaine Lecture 2022,Salon
57,Campagne Printemps 2023,Lancement Livre
58,Lancement Printemps 2024,Lancement Livre
59,Initiative Printemps 2025,Salon
60,Promotion Salon Lyon 2022,Salon
61,Evenement Semaine Lecture 2023,Promotion
62,Lancement Salon Lyon 2024,Noel
63,Lancement Printemps 2025,Notoriete
64,Action Noel 2022,Noel
65,Action Salon Lyon 2023,Lancement Livre
66,Operation Rentree 2024,Noel
67,Initiative Printemps 2025,Salon
68,Lancement Automne 2022,Promotion
69,Evenement Salon Paris 2023,Fidelisation
70,Promotion Salon Lyon 2024,Salon
71,Operation Salon Lyon 2025,Notoriete
72,Campagne Festival BD 2022,Lancement Livre
73,Operation Automne 2023,Fidelisation
74,Action Salon Lyon 2024,Promotion
75,Lancement Salon Paris 2025,Lancement Livre
76,Evenement Salon Paris 2022,Lancement Livre
77,Action Hiver 2023,Promotion
78,Promotion Salon Paris 2024,Promotion
79,Evenement Automne 2025,Rentree Litteraire
80,Lancement Rentree 2022,Lancement Livre
81,Initiative Rentree 2023,Lancement Livre
82,Offensive Festival BD 2024,Fidelisation
83,Campagne Festival BD 2025,Notoriete
84,Evenement Printemps 2022,Notoriete
85,Lancement Salon Paris 2023,Notoriete
86,Lancement Semaine Lecture 2024,Lancement Livre
87,Operation Salon Paris 2025,Prix Litteraire
88,Promotion Automne 2022,Prix Litteraire
89,Lancement Hiver 2023,Noel
90,Evenement Hiver 2024,Promotion
91,Initiative Printemps 2025,Lancement Livre
92,Offensive Semaine Lecture 2022,Notoriete
93,Operation Festival BD 2023,Salon
94,Promotion Ete 2024,Prix Litteraire
95,Operation Automne 2025,Prix Litteraire
96,Promotion Ete 2022,Promotion
97,Promotion Semaine Lecture 2023,Lancement Livre
98,Promotion Printemps 2024,Fidelisation
99,Promotion Printemps 2025,Notoriete
100,Evenement Hiver 2022,Rentree Litteraire
