account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000001,Librairie Gallimard,1,Librairie,Librairie,247 avenue du Livre,Paris,75,58655,Prospect,28130781,50,2020-09-20
ACC000002,Librairie Gibert,2,Bibliotheque,Institutionnel,284 avenue du Livre,Lyon,69,23446,Client,20446878,25,2020-01-23
ACC000003,Fnac Livres,3,Grossiste,Distribution,265 avenue du Livre,Marseille,13,26341,Client,32597864,5,2020-04-27
ACC000004,Cultura,4,Ecole,Education,146 avenue du Livre,Toulouse,31,20993,Prospect,7999140,25,2022-05-25
ACC000005,Librairie Mollat,5,Universite,Education,83 avenue du Livre,Bordeaux,33,45755,Partenaire,43674058,5,2022-07-09
ACC000006,Librairie Decitre,6,Mediatheque,Institutionnel,231 avenue du Livre,Nantes,44,77286,Partenaire,4571664,10,2020-10-05
ACC000007,Le Furet du Nord,7,Librairie,Librairie,76 avenue du Livre,Strasbourg,67,67340,Partenaire,10443030,10,2022-05-18
ACC000008,Librairie Kleen,8,Bibliotheque,Institutionnel,47 avenue du Livre,Lille,59,39102,Partenaire,28848604,5,2021-09-19
ACC000009,Librairie Sauramps,9,Grossiste,Distribution,231 avenue du Livre,Rennes,35,55820,Prospect,9683513,250,2020-02-28
ACC000010,Librairie Dialogues,10,Ecole,Education,14 avenue du Livre,Grenoble,38,64381,Client,11656897,25,2020-09-14
ACC000011,Bibliotheque Nationale,11,Universite,Education,28 avenue du Livre,Rouen,76,61964,Prospect,48766864,25,2020-04-06
ACC000012,BU Paris-Saclay,12,Mediatheque,Institutionnel,258 avenue du Livre,Tours,37,59015,Prospect,6128273,5,2022-02-08
ACC000013,Mediatheque de Lyon,13,Librairie,Librairie,121 avenue du Livre,Dijon,21,60615,Prospect,21372792,500,2021-01-31
ACC000014,CDI Lycee Voltaire,14,Bibliotheque,Institutionnel,42 avenue du Livre,Clermont-Ferrand,63,59140,Partenaire,35710714,250,2021-07-03
ACC000015,Ecole Normale Superieure,15,Grossiste,Distribution,115 avenue du Livre,Montpellier,34,13694,Partenaire,49226629,100,2022-04-09
ACC000016,Grossiste Livres Express,16,Ecole,Education,164 avenue du Livre,Paris,75,22987,Partenaire,43267824,25,2021-08-30
ACC000017,France Loisirs,17,Universite,Education,172 avenue du Livre,Lyon,69,29142,Partenaire,4117475,50,2022-07-20
ACC000018,Chapitre.com,18,Mediatheque,Institutionnel,71 avenue du Livre,Marseille,13,15020,Prospect,14170647,25,2020-06-08
ACC000019,Leslibraires.fr,19,Librairie,Librairie,147 avenue du Livre,Toulouse,31,71925,Partenaire,1234075,10,2021-05-26
ACC000020,Amazon France,20,Bibliotheque,Institutionnel,72 avenue du Livre,Bordeaux,33,71487,Partenaire,41933879,50,2020-10-27
ACC000021,Librairie Gallimard - Nantes,21,Grossiste,Distribution,230 avenue du Livre,Nantes,44,90654,Client,27916423,50,2022-05-05
ACC000022,Librairie Gibert - Strasbourg,22,Ecole,Education,3 avenue du Livre,Strasbourg,67,20384,Prospect,9725651,100,2021-04-11
ACC000023,Fnac Livres - Lille,23,Universite,Education,10 avenue du Livre,Lille,59,43544,Partenaire,5896332,100,2021-01-28
ACC000024,Cultura - Rennes,24,Mediatheque,Institutionnel,111 avenue du Livre,Rennes,35,29597,Client,34671787,100,2022-07-13
ACC000025,Librairie Mollat - Grenoble,25,Librairie,Librairie,281 avenue du Livre,Grenoble,38,89807,Client,41992904,500,2021-07-10
ACC000026,Librairie Decitre - Rouen,26,Bibliotheque,Institutionnel,271 avenue du Livre,Rouen,76,65476,Partenaire,42397565,100,2022-03-01
ACC000027,Le Furet du Nord - Tours,27,Grossiste,Distribution,57 avenue du Livre,Tours,37,47762,Prospect,21457049,25,2020-06-21
ACC000028,Librairie Kleen - Dijon,28,Ecole,Education,122 avenue du Livre,Dijon,21,49472,Client,773639,100,2020-10-13
ACC000029,Librairie Sauramps - Clermont-Ferrand,29,Universite,Education,63 avenue du Livre,Clermont-Ferrand,63,16258,Client,27026873,500,2020-04-15
ACC000030,Librairie Dialogues - Montpellier,30,Mediatheque,Institutionnel,123 avenue du Livre,Montpellier,34,65027,Client,41981115,100,2021-12-31
ACC000031,Bibliotheque Nationale - Paris,31,Librairie,Librairie,235 avenue du Livre,Paris,75,18232,Prospect,41659674,25,2021-04-10
ACC000032,BU Paris-Saclay - Lyon,32,Bibliotheque,Institutionnel,57 avenue du Livre,Lyon,69,75513,Prospect,13554409,25,2020-10-04
ACC000033,Mediatheque de Lyon - Marseille,33,Grossiste,Distribution,275 avenue du Livre,Marseille,13,12154,Client,43383170,250,2021-06-15
ACC000034,CDI Lycee Voltaire - Toulouse,34,Ecole,Education,264 avenue du Livre,Toulouse,31,85372,Partenaire,15204451,50,2020-01-29
ACC000035,Ecole Normale Superieure - Bordeaux,35,Universite,Education,124 avenue du Livre,Bordeaux,33,28818,Client,1623447,100,2022-09-20
